甖	罌
叫	呌
煙	𤎆
鬥	鬭
齧	囓
鵶	鴉
絃	弦
為	爲
裏	裡
𠦁	斗
駞	駝
茜	蒨
蔕	蒂
㦲	哉
勲	勳
蹌	蹡
䝉	蒙
肯	肻
𩲸	魄
窗	窻
樝	楂
疎	疏
徧	遍
澁	澀
斡	𠏉
搗	擣
陞	升
縆	緪
粧	妝
綫	線
荳	豆
飡	餐
豗	𧱉
巗	巖
峰	峯
鸎	鶯
峩	峨
牋	箋
挿	插
㗸	銜
唇	脣
儁	俊
逓	遞
寳	寶
塚	冢
㙬	垠
夢	㝱
㪍	勃
𠜾	劂
𧒃	蛘
搴	𢶊
蘖	𣖂
蚊	蟁
虻	蝱
奰	𡚤
竈	灶
巖	岩
氾	泛
鼇	鰲
菹	葅
斫	斵
污	汚
鍼	針
俯	俛
伸	𠈐
鄰	隣
慙	慚
筋	䈥
屍	尸
𢷘	㩃
𥿉	袜
卻	却
皰	疱
喑	瘖
菇	菰
確	确
㗖	啖
倣	仿
岐	歧
溼	濕
刊	栞
匆	怱
䘖	銜
㗸	𠾑
傍	𠊓
備	僃
兜	兠
共	𠔏
冥	㝠
劍	劒
厚	𫝗
廄	廐
含	𫩧
喪	䘮
嗥	嘷
塹	壍
塚	塜
奇	竒
奭	𠁗
密	宻
富	冨
帶	𭘧
扃	扄
插	揷
旁	㫄
旆	斾
既	旣
旨	㫖
染	𣑱
柔	𣐱
檀	𣞀
檳	𢷤
步	歩
涉	渉
溉	漑
潛	濳
潸	澘
濱	濵
爽	𤕤
皞	皥
究	䆒
篪	箎
籩	𥸅
繐	𦇠
缶	𦈢
罽	𦋺
臏	𬛜
臿	𦥛
蟆	蟇
蹴	蹵
輊	𨎌
鑒	鑑
髯	髥
鬢	𩯭
鼻	𮮰
㝠	𡨕
㹋	𤛛
𥝊	𦦻
𥲤	簴
𢷤	擯
稃	粰
簀	蔶
脇	胁
蠵	𧓈
讐	讎
玆	茲
絕	絶
敎	教
